product_key,product_id,product_name,category,unit_price,stock_level,product_size,load_date
1,2000,Microphone Standard,Electronics,1077.53,172,Standard,2025-11-29 00:19:39
2,2001,Mouse Deluxe,Electronics,1560.58,158,Standard,2025-11-29 00:19:39
3,2002,Gaming Console Deluxe,Electronics,1468.87,13,Standard,2025-11-29 00:19:39
4,2003,Mouse Pro,Electronics,1968.76,185,Standard,2025-11-29 00:19:39
5,2004,Camera Standard,Electronics,1315.49,43,Standard,2025-11-29 00:19:39
6,2005,Tablet Pro,Electronics,1834.46,40,Standard,2025-11-29 00:19:39
7,2006,Gaming Console Pro,Electronics,1865.57,113,Standard,2025-11-29 00:19:39
8,2007,Webcam Pro,Electronics,1641.08,10,Standard,2025-11-29 00:19:39
9,2008,Router Standard,Electronics,1159.15,101,Standard,2025-11-29 00:19:39
10,2009,Keyboard Plus,Electronics,1074.38,42,Standard,2025-11-29 00:19:39
11,2010,Tablet Premium,Electronics,1648.63,125,Standard,2025-11-29 00:19:39
12,2011,Headphones Basic,Electronics,984.8,106,Standard,2025-11-29 00:19:39
13,2012,Mouse Standard,Electronics,683.77,194,Standard,2025-11-29 00:19:39
14,2013,Microphone Standard,Electronics,1409.63,33,Standard,2025-11-29 00:19:39
15,2014,Gaming Console Standard,Electronics,1050.1,120,Standard,2025-11-29 00:19:39
16,2015,Monitor Deluxe,Electronics,1449.16,62,Standard,2025-11-29 00:19:39
17,2016,Microphone Basic,Electronics,1265.73,211,Standard,2025-11-29 00:19:39
18,2017,Smartwatch Plus,Electronics,652.94,36,Standard,2025-11-29 00:19:39
19,2018,Smartwatch Standard,Electronics,1025.38,148,Standard,2025-11-29 00:19:39
20,2019,Monitor Deluxe,Electronics,1652.56,193,Standard,2025-11-29 00:19:39
21,2020,Headphones Basic,Electronics,1293.42,43,Standard,2025-11-29 00:19:39
22,2021,Tv Deluxe,Electronics,1637.55,61,Standard,2025-11-29 00:19:39
23,2022,Usb Drive Pro,Electronics,1492.45,257,Standard,2025-11-29 00:19:39
24,2023,Keyboard Elite,Electronics,1827.97,142,Standard,2025-11-29 00:19:39
25,2025,Keyboard Standard,Electronics,1073.11,47,Standard,2025-11-29 00:19:39
