productid,productname,productcategory,unitprice,stockquantity,productsize,suppliername
2000,Microphone Standard,Electronics,1077.53,172,Large,Techsource
2001,Mouse Deluxe,Electronics,1560.58,158,Large,Officeworks
2002,Gaming Console Deluxe,Electronics,1468.87,13,XL,Homeline
2003,Mouse Pro,Electronics,1968.76,185,,Officeworks
2004,Camera Standard,Electronics,1315.49,43,XL,Officeworks
2005,Tablet Pro,Electronics,1834.46,40,Small,Officeworks
2006,Gaming Console Pro,Electronics,1865.57,113,XL,Gadgetpro
2007,Webcam Pro,Electronics,1641.08,10,,Techsource
2008,Router Standard,Electronics,1159.15,101,,Globaltrade
2009,Keyboard Plus,Electronics,1074.38,42,Small,Techsource
2010,Tablet Premium,Electronics,1648.63,125,Large,Comfortco
2011,Headphones Basic,Electronics,984.8,106,Medium,Officeworks
2012,Mouse Standard,Electronics,683.77,194,Small,Officeworks
2013,Microphone Standard,Electronics,1409.63,33,,Homeline
2014,Gaming Console Standard,Electronics,1050.1,120,,Globaltrade
2015,Monitor Deluxe,Electronics,1449.16,62,XL,Officeworks
2016,Microphone Basic,Electronics,1265.73,211,,Homeline
2017,Smartwatch Plus,Electronics,652.94,36,Medium,Comfortco
2018,Smartwatch Standard,Electronics,1025.38,148,Large,Homeline
2019,Monitor Deluxe,Electronics,1652.56,193,,Comfortco
2020,Headphones Basic,Electronics,1293.42,43,Medium,Gadgetpro
2021,Tv Deluxe,Electronics,1637.55,61,Medium,Techsource
2022,Usb Drive Pro,Electronics,1492.45,257,,Globaltrade
2023,Keyboard Elite,Electronics,1827.97,142,XL,Gadgetpro
2025,Keyboard Standard,Electronics,1073.11,47,Medium,Gadgetpro
2026,Scanner Plus,Electronics,1319.37,52,,Comfortco
2027,Monitor Pro,Electronics,1711.81,106,Small,Homeline
2028,Speaker Pro,Electronics,1417.82,151,XL,Gadgetpro
2029,Smartphone Pro,Electronics,1671.76,100,,Gadgetpro
2030,Suit Basic,Clothing,158.21,52,Small,Techsource
2031,Sweater Standard,Clothing,174.23,53,XL,Techsource
2032,T-Shirt Elite,Clothing,241.44,137,Large,Gadgetpro
2033,T-Shirt Pro,Clothing,299.99,63,Medium,Techsource
2034,Blazer Plus,Clothing,110.64,26,Small,Comfortco
2035,Shorts Standard,Clothing,186.04,86,,Techsource
2036,Jeans Pro,Clothing,254.63,19,Large,Globaltrade
2037,Scarf Elite,Clothing,243.17,115,XL,Comfortco
2038,Suit Basic,Clothing,168.01,79,XL,Gadgetpro
2039,Hoodie Plus,Clothing,168.03,45,Small,Gadgetpro
2040,Scarf Basic,Clothing,203.88,85,,Homeline
2041,T-Shirt Standard,Clothing,109.49,56,XL,Globaltrade
2042,Skirt Basic,Clothing,202.84,25,XL,Homeline
2043,Cardigan Basic,Clothing,102.58,142,,Comfortco
2044,Blazer Elite,Clothing,281.3,214,,Gadgetpro
2045,Blazer Elite,Clothing,295.21,150,Large,Techsource
2046,Blazer Plus,Clothing,198.58,44,Small,Globaltrade
2047,Skirt Plus,Clothing,111.15,45,Medium,Techsource
2048,Skirt Deluxe,Clothing,280.71,28,Medium,Homeline
2049,Dress Elite,Clothing,270.04,126,XL,Homeline
2050,Polo Shirt Pro,Clothing,239.22,59,Small,Comfortco
2051,Sweater Plus,Clothing,145.46,36,Small,Comfortco
2052,Jacket Plus,Clothing,208.77,84,Small,Comfortco
2053,Suit Standard,Clothing,107.15,150,,Gadgetpro
2054,Blazer Standard,Clothing,115.9,42,Large,Officeworks
2055,Hoodie Elite,Clothing,222.99,58,Large,Officeworks
2056,Skirt Standard,Clothing,177.56,43,Large,Globaltrade
2057,Shorts Elite,Clothing,286.16,65,Medium,Globaltrade
2058,Socks Plus,Clothing,138.26,38,Medium,Globaltrade
2059,Leggings Basic,Clothing,124.04,114,,Techsource
2060,Desk Plus,Home,557.27,96,Medium,Techsource
2061,Bookshelf Elite,Home,1322.77,137,Small,Homeline
2062,Rug Plus,Home,671.74,67,,Globaltrade
2063,Curtains Elite,Home,1261.9,120,Medium,Homeline
2064,Bookshelf Elite,Home,1174.13,46,XL,Globaltrade
2065,Bed Frame Basic,Home,915.27,94,Large,Comfortco
2066,Rug Basic,Home,574.41,28,,Techsource
2067,Bookshelf Elite,Home,1340.7,19,XL,Globaltrade
2068,Bookshelf Basic,Home,905.12,71,Large,Techsource
2069,Storage Box Deluxe,Home,1270.69,43,Medium,Comfortco
2070,Ottoman Premium,Home,1215.15,125,Medium,Gadgetpro
2071,Picture Frame Deluxe,Home,1419.78,24,,Comfortco
2072,Lamp Basic,Home,812.79,16,XL,Gadgetpro
2073,Lamp Plus,Home,727.71,109,Small,Homeline
2074,Storage Box Premium,Home,1371.58,76,XL,Gadgetpro
2075,Rug Plus,Home,977.21,71,XL,Techsource
2076,Coffee Table Elite,Home,1256.39,52,Medium,Gadgetpro
2077,Bed Frame Standard,Home,820.75,60,Small,Globaltrade
2078,Dining Chair Premium,Home,1158.25,50,XL,Comfortco
2079,Curtains Premium,Home,1147.47,126,Small,Techsource
2080,Bookshelf Basic,Home,816.26,268,XL,Homeline
2081,Storage Box Elite,Home,1212.38,14,Small,Homeline
2082,Bookshelf Premium,Home,1232.36,87,Large,Gadgetpro
2083,Storage Box Deluxe,Home,1297.44,232,,Globaltrade
2084,Rug Plus,Home,973.09,145,XL,Gadgetpro
2086,Curtains Plus,Home,863.38,37,Medium,Comfortco
2088,Sofa Deluxe,Home,1319.19,224,Medium,Homeline
2089,Storage Box Basic,Home,615.02,126,Large,Globaltrade
2090,Office Chair Deluxe,Office,400.26,99,Small,Gadgetpro
2091,Binder Deluxe,Office,451.21,7,Small,Comfortco
2092,Paper Shredder Deluxe,Office,366.34,72,Small,Globaltrade
2093,Binder Basic,Office,207.49,89,Large,Comfortco
2094,Clipboard Deluxe,Office,404.34,152,,Gadgetpro
2095,Clipboard Plus,Office,226.87,85,Medium,Comfortco
2096,Business Card Holder Standard,Office,268.4,46,Medium,Homeline
2097,Label Maker Elite,Office,387.98,10,Large,Techsource
2098,Pen Set Premium,Office,474.37,257,Medium,Gadgetpro
2099,Calculator Pro,Office,497.55,67,Medium,Comfortco
2100,Paper Shredder Plus,Office,187.29,66,Medium,Techsource
2101,Desk Organizer Premium,Office,358.86,65,XL,Gadgetpro
2102,Paper Tray Basic,Office,220.8,55,,Comfortco
2103,Calculator Pro,Office,410.68,17,Medium,Techsource
2104,Clipboard Deluxe,Office,494.87,34,Small,Gadgetpro
2105,Stapler Plus,Office,248.66,104,XL,Homeline
2106,Desk Organizer Standard,Office,202.88,59,Medium,Homeline
2107,Pen Set Basic,Office,163.67,33,Large,Globaltrade
2108,Business Card Holder Elite,Office,358.13,49,Small,Homeline
2109,Label Maker Standard,Office,346.34,60,,Gadgetpro
2110,Tape Dispenser Standard,Office,249.34,29,Medium,Gadgetpro
2111,Tape Dispenser Standard,Office,218.02,4,Small,Homeline
2112,Desk Organizer Deluxe,Office,388.99,205,Medium,Comfortco
2113,File Cabinet Basic,Office,323.07,78,Small,Officeworks
2114,Desk Organizer Standard,Office,331.33,169,Medium,Comfortco
2115,Paper Shredder Basic,Office,314.66,94,Large,Gadgetpro
2116,Whiteboard Elite,Office,481.82,20,Medium,Comfortco
2117,Clipboard Basic,Office,183.88,217,Medium,Gadgetpro
2118,File Cabinet Deluxe,Office,370.76,138,Medium,Globaltrade
2119,Desk Organizer Deluxe,Office,485.05,65,Small,Gadgetpro
