ProductID,ProductName,ProductCategory,UnitPrice,StockQuantity,ProductSize,SupplierName
2000,Microphone Standard,Electronics,1077.53,172,Large,TechSource
2001,Mouse Deluxe,Electronics,1560.58,158,Large,OfficeWorks
2002,Gaming Console Deluxe,Electronics,1468.87,13,XL,HomeLine
2003,Mouse Pro,Electronics,1968.76,185,N/A,OfficeWorks
2004,Camera Standard,Electronics,1315.49,43,XL,OfficeWorks
2005,Tablet Pro,Electronics,1834.46,40,Small,OfficeWorks
2006,Gaming Console Pro,Electronics,1865.57,113,XL,GadgetPro
2007,Webcam Pro,Electronics,1641.08,10,N/A,TechSource
2008,Router Standard,Electronics,1159.15,101,N/A,GlobalTrade
2009,Keyboard Plus,Electronics,1074.38,42,Small,TechSource
2010,Tablet Premium,Electronics,1648.63,125,Large,ComfortCo
2011,Headphones Basic,Electronics,984.8,106,Medium,OfficeWorks
2012,Mouse Standard,Electronics,683.77,194,Small,OfficeWorks
2013,Microphone Standard,Electronics,1409.63,33,N/A,HomeLine
2014,Gaming Console Standard,Electronics,1050.1,120,N/A,GlobalTrade
2015,Monitor Deluxe,Electronics,1449.16,62,XL,OfficeWorks
2016,Microphone Basic,Electronics,1265.73,211,N/A,HomeLine
2017,Smartwatch Plus,Electronics,652.94,36,Medium,ComfortCo
2018,Smartwatch Standard,Electronics,1025.38,148,Large,HomeLine
2019,Monitor Deluxe,Electronics,1652.56,193,N/A,ComfortCo
2020,Headphones Basic,Electronics,1293.42,43,Medium,GadgetPro
2021,TV Deluxe,Electronics,1637.55,61,Medium,TechSource
2022,USB Drive Pro,Electronics,1492.45,257,N/A,GlobalTrade
2023,Keyboard Elite,Electronics,1827.97,142,XL,GadgetPro
2024,Gaming Console Basic,Electronics,1197.74,388,Small,TechSource
2025,Keyboard Standard,Electronics,1073.11,47,Medium,GadgetPro
2026,Scanner Plus,Electronics,1319.37,52,N/A,ComfortCo
2027,Monitor Pro,Electronics,1711.81,106,Small,HomeLine
2028,Speaker Pro,Electronics,1417.82,151,XL,GadgetPro
2029,Smartphone Pro,Electronics,1671.76,100,N/A,GadgetPro
2030,Suit Basic,Clothing,158.21,52,Small,TechSource
2031,Sweater Standard,Clothing,174.23,53,XL,TechSource
2032,T-Shirt Elite,Clothing,241.44,137,Large,GadgetPro
2033,T-Shirt Pro,Clothing,299.99,63,Medium,TechSource
2034,Blazer Plus,Clothing,110.64,26,Small,ComfortCo
2035,Shorts Standard,Clothing,186.04,86,N/A,TechSource
2036,Jeans Pro,Clothing,254.63,19,Large,GlobalTrade
2037,Scarf Elite,Clothing,243.17,115,XL,ComfortCo
2038,Suit Basic,Clothing,168.01,79,XL,GadgetPro
2039,Hoodie Plus,Clothing,168.03,45,Small,GadgetPro
2040,Scarf Basic,Clothing,203.88,85,N/A,HomeLine
2041,T-Shirt Standard,Clothing,109.49,56,XL,GlobalTrade
2042,Skirt Basic,Clothing,202.84,25,XL,HomeLine
2043,Cardigan Basic,Clothing,102.58,142,N/A,ComfortCo
2044,Blazer Elite,Clothing,281.3,214,N/A,GadgetPro
2045,Blazer Elite,Clothing,295.21,150,Large,TechSource
2046,Blazer Plus,Clothing,198.58,44,Small,GlobalTrade
2047,Skirt Plus,Clothing,111.15,45,Medium,TechSource
2048,Skirt Deluxe,Clothing,280.71,28,Medium,HomeLine
2049,Dress Elite,Clothing,270.04,126,XL,HomeLine
2050,Polo Shirt Pro,Clothing,239.22,59,Small,ComfortCo
2051,Sweater Plus,Clothing,145.46,36,Small,ComfortCo
2052,Jacket Plus,Clothing,208.77,84,Small,ComfortCo
2053,Suit Standard,Clothing,107.15,150,N/A,GadgetPro
2054,Blazer Standard,Clothing,115.9,42,Large,OfficeWorks
2055,Hoodie Elite,Clothing,222.99,58,Large,OfficeWorks
2056,Skirt Standard,Clothing,177.56,43,Large,GlobalTrade
2057,Shorts Elite,Clothing,286.16,65,Medium,GlobalTrade
2058,Socks Plus,Clothing,138.26,38,Medium,GlobalTrade
2059,Leggings Basic,Clothing,124.04,114,N/A,TechSource
2060,Desk Plus,Home,557.27,96,Medium,TechSource
2061,Bookshelf Elite,Home,1322.77,137,Small,HomeLine
2062,Rug Plus,Home,671.74,67,N/A,GlobalTrade
2063,Curtains Elite,Home,1261.9,120,Medium,HomeLine
2064,Bookshelf Elite,Home,1174.13,46,XL,GlobalTrade
2065,Bed Frame Basic,Home,915.27,94,Large,ComfortCo
2066,Rug Basic,Home,574.41,28,N/A,TechSource
2067,Bookshelf Elite,Home,1340.7,19,XL,GlobalTrade
2068,Bookshelf Basic,Home,905.12,71,Large,TechSource
2069,Storage Box Deluxe,Home,1270.69,43,Medium,ComfortCo
2070,Ottoman Premium,Home,1215.15,125,Medium,GadgetPro
2071,Picture Frame Deluxe,Home,1419.78,24,N/A,ComfortCo
2072,Lamp Basic,Home,812.79,16,XL,GadgetPro
2073,Lamp Plus,Home,727.71,109,Small,HomeLine
2074,Storage Box Premium,Home,1371.58,76,XL,GadgetPro
2075,Rug Plus,Home,977.21,71,XL,TechSource
2076,Coffee Table Elite,Home,1256.39,52,Medium,GadgetPro
2077,Bed Frame Standard,Home,820.75,60,Small,GlobalTrade
2078,Dining Chair Premium,Home,1158.25,50,XL,ComfortCo
2079,Curtains Premium,Home,1147.47,126,Small,TechSource
2080,Bookshelf Basic,Home,816.26,268,XL,HomeLine
2081,Storage Box Elite,Home,1212.38,14,Small,HomeLine
2082,Bookshelf Premium,Home,1232.36,87,Large,GadgetPro
2083,Storage Box Deluxe,Home,1297.44,232,N/A,GlobalTrade
2084,Rug Plus,Home,973.09,145,XL,GadgetPro
2085,Clock Pro,Home,1161.31,408,Large,GlobalTrade
2086,Curtains Plus,Home,863.38,37,Medium,ComfortCo
2087,Mattress Deluxe,Home,1448.03,331,Medium,OfficeWorks
2088,Sofa Deluxe,Home,1319.19,224,Medium,HomeLine
2089,Storage Box Basic,Home,615.02,126,Large,GlobalTrade
2090,Office Chair Deluxe,Office,400.26,99,Small,GadgetPro
2091,Binder Deluxe,Office,451.21,7,Small,ComfortCo
2092,Paper Shredder Deluxe,Office,366.34,72,Small,GlobalTrade
2093,Binder Basic,Office,207.49,89,Large,ComfortCo
2094,Clipboard Deluxe,Office,404.34,152,N/A,GadgetPro
2095,Clipboard Plus,Office,226.87,85,Medium,ComfortCo
2096,Business Card Holder Standard,Office,268.4,46,Medium,HomeLine
2097,Label Maker Elite,Office,387.98,10,Large,TechSource
2098,Pen Set Premium,Office,474.37,257,Medium,GadgetPro
2099,Calculator Pro,Office,497.55,67,Medium,ComfortCo
2100,Paper Shredder Plus,Office,187.29,66,Medium,TechSource
2101,Desk Organizer Premium,Office,358.86,65,XL,GadgetPro
2102,Paper Tray Basic,Office,220.8,55,N/A,ComfortCo
2103,Calculator Pro,Office,410.68,17,Medium,TechSource
2104,Clipboard Deluxe,Office,494.87,34,Small,GadgetPro
2105,Stapler Plus,Office,248.66,104,XL,HomeLine
2106,Desk Organizer Standard,Office,202.88,59,Medium,HomeLine
2107,Pen Set Basic,Office,163.67,33,Large,GlobalTrade
2108,Business Card Holder Elite,Office,358.13,49,Small,HomeLine
2109,Label Maker Standard,Office,346.34,60,N/A,GadgetPro
2110,Tape Dispenser Standard,Office,249.34,29,Medium,GadgetPro
2111,Tape Dispenser Standard,Office,218.02,4,Small,HomeLine
2112,Desk Organizer Deluxe,Office,388.99,205,Medium,ComfortCo
2113,File Cabinet Basic,Office,323.07,78,Small,OfficeWorks
2114,Desk Organizer Standard,Office,331.33,169,Medium,ComfortCo
2115,Paper Shredder Basic,Office,314.66,94,Large,GadgetPro
2116,Whiteboard Elite,Office,481.82,20,Medium,ComfortCo
2117,Clipboard Basic,Office,183.88,217,Medium,GadgetPro
2118,File Cabinet Deluxe,Office,370.76,138,Medium,GlobalTrade
2119,Desk Organizer Deluxe,Office,485.05,65,Small,GadgetPro
